AppID,Name,Reviews
10,Counter-Strike,388
240,Counter-Strike: Source,894
280,Half-Life: Source,333
340,Half-Life 2: Lost Coast,373
440,Team Fortress 2,1483
550,Left 4 Dead 2,3797
570,Dota 2,10610
620,Portal 2,476
1250,Killing Floor,847
2400,The Ship: Murder Party,386
2870,X Rebirth,2250
6550,Devil May Cry® 3 Special Edition,374
7510,X-Blades,402
7670,BioShock™,553
7940,Call of Duty® 4: Modern Warfare®,308
8190,Just Cause 2,892
8500,EVE Online,620
8850,BioShock® 2,449
8870,BioShock Infinite,1822
8980,Borderlands Game of the Year,550
9200,RAGE,984
9480,Saints Row 2,952
10090,Call of Duty: World at War,634
10180,Call of Duty®: Modern Warfare® 2 (2009),1083
10220,Postal III,376
10680,Aliens vs. Predator™,448
11390,Crash Time 2,344
12120,Grand Theft Auto: San Andreas,1082
12200,Bully: Scholarship Edition,523
12210,Grand Theft Auto IV: The Complete Edition,5978
12220,Grand Theft Auto: Episodes from Liberty City,656
13140,America's Army 3,343
15100,Assassin's Creed™: Director's Cut Edition,378
16720,Velvet Assassin,328
16730,Legendary,459
17080,Tribes: Ascend,840
17300,Crysis,388
17410,Mirror's Edge™,896
17470,Dead Space,449
19680,Alice: Madness Returns,497
19900,Far Cry® 2,536
20500,Red Faction Guerrilla Steam Edition,307
20900,The Witcher: Enhanced Edition Director's Cut,1274
21100,F.E.A.R. 3,805
22350,BRINK,704
22380,Fallout: New Vegas,1438
24200,DC Universe™ Online,948
24240,PAYDAY™ The Heist,772
24960,Battlefield: Bad Company™ 2,719
28000,Kane & Lynch 2: Dog Days,475
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,647
32500,STAR WARS™: The Force Unleashed™ II,621
33230,Assassin's Creed 2,895
33930,Arma 2: Operation Arrowhead,579
34010,Alpha Protocol™,352
34830,Sniper: Ghost Warrior,456
34870,Sniper: Ghost Warrior 2,536
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,706
39160,Dungeon Siege III,328
41070,Serious Sam 3: BFE,463
42680,Call of Duty®: Modern Warfare® 3,1060
42700,Call of Duty®: Black Ops,709
42910,Magicka,576
45740,Dead Rising® 2,362
45760,Ultra Street Fighter® IV,603
47790,Medal of Honor™,581
48000,LIMBO,566
48190,Assassin’s Creed® Brotherhood,327
48700,Mount & Blade: Warband,695
48720,Mount & Blade: With Fire & Sword,362
49520,Borderlands 2,1757
49540,Aliens: Colonial Marines Collection,1662
50130,Mafia II (Classic),602
50300,Spec Ops: The Line,792
50620,Darksiders™,458
55100,Homefront,518
55110,Red Faction®: Armageddon™,461
57300,Amnesia: The Dark Descent,445
57900,Duke Nukem Forever,1056
65790,ARMA: Cold War Assault,325
65800,Dungeon Defenders,578
65930,The Bureau: XCOM Declassified,1117
67370,The Darkness II,364
70000,Dino D-Day,825
91700,E.Y.E: Divine Cybermancy,496
92000,Hydrophobia: Prophecy,429
94400,Nidhogg,456
104900,ORION: Prelude,3019
105600,Terraria,2475
107100,Bastion,338
107410,Arma 3,3597
108710,Alan Wake,651
111900,Guardians of Middle-earth,514
113020,Monaco: What's Yours Is Mine,314
113200,The Binding of Isaac,820
113400,APB Reloaded,5110
115320,Prototype 2,646
